DUID,Pickle_Site_Name,Excel_Site_Name,Pickle_Region,Excel_Region,Pickle_Owner,Excel_Owner,Pickle_Capacity_MW,Excel_Capacity_MW,Pickle_Storage_MWh,Excel_Storage_MWh,Pickle_Fuel,Excel_Fuel,Differences
KPP_1,Kogan Creek,Kogan Creek,QLD1,QLD1,Kogan Creek Power Station Pty Ltd,Kogan Creek Power Station Pty Ltd,744.0,744.0,0.0,,Coal,Fossil - Black Coal,Fuel
KSP1,Kidston Solar Project Phase One 50MW,Kidston Solar Project Phase One 50MW,QLD1,QLD1,Genex Power Limited,Genex Power Limited,50.0,2.5,0.0,0.0,Solar,Solar - Solar,"Capacity(MW), Fuel"
LADBROK1,Ladbroke Grove,Ladbroke Grove,SA1,SA1,Origin Energy Power Limited,Origin Energy Power Limited,40.0,40.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
LADBROK2,Ladbroke Grove,Ladbroke Grove,SA1,SA1,Origin Energy Power Limited,Origin Energy Power Limited,40.0,40.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
LBB1,Lake Bonney Battery Energy Storage,Lake Bonney Battery Energy Storage,SA1,SA1,Lake Bonney BESS Pty Limited ,Lake Bonney BESS Pty Limited ,25.0,25.0,52.0,52.0,Battery Storage,Other - Other,Fuel
LEM_WIL,Lemonthyme / Wilmot,Lemonthyme / Wilmot,TAS1,TAS1,Hydro-Electric Corporation,Hydro-Electric Corporation,81.6,30.6,0.0,,Water,Hydro - Water,"Capacity(MW), Fuel"
LGAPBS1,LINCOLN GAP BESSBDU,LINCOLN GAP BESSBDU,SA1,SA1,Lincoln Gap Wind Farm (Operations) Pty Ltd,Lincoln Gap Wind Farm (Operations) Pty Ltd,10.0,10.0,10.0,10.0,Battery Storage,Other - Other,Fuel
LGAPWF1,Lincoln Gap Wind Farm - stage 1,Lincoln Gap Wind Farm - stage 1,SA1,SA1,Lincoln Gap Wind Farm Pty Ltd,Lincoln Gap Wind Farm Pty Ltd,126.0,3.6,0.0,0.0,Wind,Wind - Wind,"Capacity(MW), Fuel"
LGAPWF2,Lincoln Gap Wind Farm - Stage 2,Lincoln Gap Wind Farm - Stage 2,SA1,SA1,Lincoln Gap Wind Farm Pty Ltd,Lincoln Gap Wind Farm Pty Ltd,86.4,3.6,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
LILYSF1,Lilyvale Solar Farm,Lilyvale Solar Farm,QLD1,QLD1,Lilyvale Asset Co Pty Ltd ATF Lilyvale Asset Trust,Lilyvale Asset Co Pty Ltd ATF Lilyvale Asset Trust,118.4,1.6,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
LIMOSF11,Limondale Solar Farm 1,Limondale Solar Farm 1,NSW1,NSW1,Limondale Sun Farm Pty Ltd,Limondale Sun Farm Pty Ltd,230.0,2.3,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
LIMOSF21,Limondale Solar Farm 2,Limondale Solar Farm 2,NSW1,NSW1,Limondale Sun Farm Pty Ltd,Limondale Sun Farm Pty Ltd,28.98,2.07,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
LI_WY_CA,Catagunya / Liapootah / Wayatinah,Catagunya / Liapootah / Wayatinah,TAS1,TAS1,Hydro-Electric Corporation,Hydro-Electric Corporation,176.70000000000002,24.0,0.0,,Water,Hydro - Water,"Capacity(MW), Fuel"
LKBONNY1,Lake Bonney 1 Wind Farm,Lake Bonney 1 Wind Farm,SA1,SA1,Lake Bonney Wind Power Pty Ltd,Lake Bonney Wind Power Pty Ltd,80.5,1.75,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
LKBONNY2,Lake Bonney 2 Wind Farm,Lake Bonney 2 Wind Farm,SA1,SA1,Lake Bonney Wind Power Pty Ltd,Lake Bonney Wind Power Pty Ltd,159.0,3.0,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
LKBONNY3,Lake Bonney 3 Wind Farm,Lake Bonney 3 Wind Farm,SA1,SA1,Lake Bonney Wind Power Pty Ltd,Lake Bonney Wind Power Pty Ltd,39.0,3.0,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
LK_ECHO,Lake Echo,Lake Echo,TAS1,TAS1,Hydro-Electric Corporation,Hydro-Electric Corporation,32.4,32.4,0.0,,Water,Hydro - Water,Fuel
LNGS1,Laverton North,Laverton North,VIC1,VIC1,Snowy Hydro Ltd,Snowy Hydro Ltd,156.0,156.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
LNGS2,Laverton North,Laverton North,VIC1,VIC1,Snowy Hydro Ltd,Snowy Hydro Ltd,156.0,156.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
LONSDALE,Lonsdale,Lonsdale,SA1,SA1,Lumo Generation SA Pty Ltd,Lumo Generation SA Pty Ltd,20.16,1.12,0.0,,Other,Fossil - Diesel,"Capacity(MW), Fuel"
LOYYB1,Loy Yang B,Loy Yang B,VIC1,VIC1,Gippsland Power Pty Ltd ABN 30 077 851 079 / LYB Ventures Australia Pty Ltd ABN 57 055 984 499 / Traralgon Power Pty Ltd ABN 64 056 292 623 / Latrobe Power Pty Ltd ABN 42 055 983 563 / LYB Australia Limited ABN 87 055 563 785,Gippsland Power Pty Ltd ABN 30 077 851 079 / LYB Ventures Australia Pty Ltd ABN 57 055 984 499 / Traralgon Power Pty Ltd ABN 64 056 292 623 / Latrobe Power Pty Ltd ABN 42 055 983 563 / LYB Australia Limited ABN 87 055 563 785,580.0,580.0,0.0,,Coal,Fossil - Brown Coal,Fuel
LOYYB2,Loy Yang B,Loy Yang B,VIC1,VIC1,Gippsland Power Pty Ltd ABN 30 077 851 079 / LYB Ventures Australia Pty Ltd ABN 57 055 984 499 / Traralgon Power Pty Ltd ABN 64 056 292 623 / Latrobe Power Pty Ltd ABN 42 055 983 563 / LYB Australia Limited ABN 87 055 563 785,Gippsland Power Pty Ltd ABN 30 077 851 079 / LYB Ventures Australia Pty Ltd ABN 57 055 984 499 / Traralgon Power Pty Ltd ABN 64 056 292 623 / Latrobe Power Pty Ltd ABN 42 055 983 563 / LYB Australia Limited ABN 87 055 563 785,580.0,580.0,0.0,,Coal,Fossil - Brown Coal,Fuel
LRSF1,Longreach Solar Farm,Longreach Solar Farm,QLD1,QLD1,Longreach Asset Company,Longreach Asset Company,15.0,2.14,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
LUCAS2S2,Lucas Heights 2,Lucas Heights 2,NSW1,NSW1,EDL LFG NSW Pty Ltd,EDL LFG NSW Pty Ltd,4.6,1.15,0.0,,Biomass,Renewable Biomass or Waste - Landfill Gas,"Capacity(MW), Fuel"
LUCASHGT,Lucas Heights 2,Lucas Heights 2,NSW1,NSW1,EDL LFG NSW Pty Ltd,EDL LFG NSW Pty Ltd,12.65,1.15,0.0,,Biomass,Renewable Biomass or Waste - Landfill Gas,"Capacity(MW), Fuel"
LVES1,LaTrobe Valley BESS,LaTrobe Valley BESS,VIC1,VIC1,Tilt Renewables Australia Pty Ltd,Tilt Renewables Australia Pty Ltd,100.0,100.0,200.0,200.0,Battery Storage,Other - Other,Fuel
LYA1,Loy Yang A Power Station,Loy Yang A Power Station,VIC1,VIC1,AGL Loy Yang Marketing Pty Ltd,AGL Loy Yang Marketing Pty Ltd,560.0,560.0,0.0,,Coal,Fossil - Brown Coal,Fuel
LYA2,Loy Yang A Power Station,Loy Yang A Power Station,VIC1,VIC1,AGL Loy Yang Marketing Pty Ltd,AGL Loy Yang Marketing Pty Ltd,530.0,530.0,0.0,,Coal,Fossil - Brown Coal,Fuel
LYA3,Loy Yang A Power Station,Loy Yang A Power Station,VIC1,VIC1,AGL Loy Yang Marketing Pty Ltd,AGL Loy Yang Marketing Pty Ltd,560.0,560.0,0.0,,Coal,Fossil - Brown Coal,Fuel
LYA4,Loy Yang A Power Station,Loy Yang A Power Station,VIC1,VIC1,AGL Loy Yang Marketing Pty Ltd,AGL Loy Yang Marketing Pty Ltd,560.0,560.0,0.0,,Coal,Fossil - Brown Coal,Fuel
MACARTH1,Macarthur Wind Farm,Macarthur Wind Farm,VIC1,VIC1,Macarthur Wind Farm Pty Ltd and Meridian Wind Macarthur Pty Ltd,Macarthur Wind Farm Pty Ltd and Meridian Wind Macarthur Pty Ltd,420.0,3.0,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
MACKNTSH,Mackintosh,Mackintosh,TAS1,TAS1,Hydro-Electric Corporation,Hydro-Electric Corporation,79.9,79.9,0.0,,Water,Hydro - Water,Fuel
MANNSF2,Mannum Solar Farm 2,Mannum Solar Farm 2,SA1,SA1,Mannum Stage 2 SubCo Pty Ltd as trustee for the Mannum Stage 2 Unit Trust,Mannum Stage 2 SubCo Pty Ltd as trustee for the Mannum Stage 2 Unit Trust,29.99,2.73,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
MANSLR1,Manildra Solar Farm,Manildra Solar Farm,NSW1,NSW1,Manildra Prop Pty Ltd as trustee for the Manildra Asset Trust,Manildra Prop Pty Ltd as trustee for the Manildra Asset Trust,50.0,2.5,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
MAPS2PV1,Mannum Adelaide Pumping Station No 2 - MAPL2 (Palmer),Mannum Adelaide Pumping Station No 2 - MAPL2 (Palmer),SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,16.5,2.75,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
MAPS3PV1,Mannum Adelaide Pumping Station No 3 - MAPL3 (Tungkillo),Mannum Adelaide Pumping Station No 3 - MAPL3 (Tungkillo),SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,16.5,2.75,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
MARYRSF1,Maryrorough Solar Farm,Maryrorough Solar Farm,QLD1,QLD1,Maryrorough Solar Pty Ltd,Maryrorough Solar Pty Ltd,34.5,34.5,0.0,,Solar,Solar - Solar,Fuel
MBAHNTH,Moranbah North,Moranbah North,QLD1,QLD1,EDL Projects Australia Pty Ltd,EDL Projects Australia Pty Ltd,63.84,3.04,0.0,,Gas other,Fossil - Waste Coal Mine Gas,"Capacity(MW), Fuel"
MBPS2PV1,Murray Bridge - Onkaparinga Pipeline Pump 2,Murray Bridge - Onkaparinga Pipeline Pump 2,SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,13.75,2.75,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
MCINTYR1,MacIntyre Wind Farm,MacIntyre Wind Farm,QLD1,QLD1,Macintyre Windfarm Pty Ltd and Arc Energy Macintyre Pty Ltd,Macintyre Windfarm Pty Ltd and Arc Energy Macintyre Pty Ltd,923.4,5.7,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
MCKAY1,Bogong / Mackay,Bogong / Mackay,VIC1,VIC1,AGL Hydro Partnership,AGL Hydro Partnership,300.02,70.0,0.0,,Water,Hydro - Water,"Capacity(MW), Fuel"
MEADOWBK,Meadowbank,Meadowbank,TAS1,TAS1,Hydro-Electric Corporation,Hydro-Electric Corporation,40.0,40.0,0.0,,Water,Hydro - Water,Fuel
MERCER01,Mt Mercer Wind Farm,Mt Mercer Wind Farm,VIC1,VIC1,Mt Mercer Windfarm Pty Ltd,Mt Mercer Windfarm Pty Ltd,131.2,2.05,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
METZSF1,Metz Solar Farm,Metz Solar Farm,NSW1,NSW1,Metz ProjectCo Pty Ltd as trustee for Metz ProjectCo Trust ,Metz ProjectCo Pty Ltd as trustee for Metz ProjectCo Trust ,135.0,2.5,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
MEWF1,Mount Emerald,Mount Emerald,QLD1,QLD1,Ratch Australia,Ratch Australia,180.52,3.41,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
MIDDLSF1,Middlemount Solar Farm,Middlemount Solar Farm,QLD1,QLD1,Capricorn SF No1 Pty Ltd,Capricorn SF No1 Pty Ltd,26.0,26.0,0.0,,Solar,Solar - Solar,Fuel
MINTARO,Mintaro GT,Mintaro GT,SA1,SA1,Synergen Power Pty Ltd,Synergen Power Pty Ltd,90.0,90.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
MLLFRHF1,Mugga Lane Renewable Hybrid,Mugga Lane Renewable Hybrid,NSW1,NSW1,LGIGEN,LGIGEN,6.39,1.07,0.0,,,Renewable Biomass or Waste - Landfill Gas,"Capacity(MW), Fuel"
MLWF1,Mortons Lane Wind Farm,Mortons Lane Wind Farm,VIC1,VIC1,Mortons Lane Windfarm Pty Ltd,Mortons Lane Windfarm Pty Ltd,19.5,1.5,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
MOKOSF1,Mokoan Solar Farm,Mokoan Solar Farm (LightsourceBP),VIC1,VIC1,EE Solar 6 Pty Ltd as trustee for EE Solar 6 Trust,EE Solar 6 Pty Ltd as trustee for EE Solar 6 Trust,46.0,46.0,0.0,,Solar,Solar - Solar,"Site Name, Fuel"
MOLNGSF1,Molong Solar Farm,Molong Solar Farm,NSW1,NSW1,Molong Operations co Pty Ltd ATF Molong Operations Trust,Molong Operations co Pty Ltd ATF Molong Operations Trust,36.08,1.64,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
MOORAWF1,Moorabool Wind Farm,Moorabool Wind Farm,VIC1,VIC1,Moorabool Wind Farm Interface Company Pty Ltd,Moorabool Wind Farm Interface Company Pty Ltd,312.0,3.0,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
MOORBESS,Moorabool BESS,Moorabool BESS,VIC1,VIC1,Neoen Australia Pty Ltd,Neoen Australia Pty Ltd,300.0,300.0,1200.0,1200.0,Battery Storage,Other - Other,Fuel
MOREESF1,Moree Solar Farm,Moree Solar Farm,NSW1,NSW1,Moree Solar Farm Pty Ltd,Moree Solar Farm Pty Ltd,56.0,1.0,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
MORTLK11,Mortlake,Mortlake,VIC1,VIC1,Origin Energy Power Limited,Origin Energy Power Limited,292.0,292.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
MORTLK12,Mortlake,Mortlake,VIC1,VIC1,Origin Energy Power Limited,Origin Energy Power Limited,292.0,292.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
MOUSF1,Moura Solar Farm,Moura Solar Farm,QLD1,QLD1,Moura Solar Farm SPV Pty Ltd as the Trustee for Moura Solar Farm Unit Trust,Moura Solar Farm SPV Pty Ltd as the Trustee for Moura Solar Farm Unit Trust,99.0,2.75,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
MP1,Mt Piper,Mt Piper,NSW1,NSW1,EnergyAustralia NSW Pty Ltd,EnergyAustralia NSW Pty Ltd,730.0,730.0,0.0,,Coal,Fossil - Black Coal,Fuel
MP2,Mt Piper,Mt Piper,NSW1,NSW1,EnergyAustralia NSW Pty Ltd,EnergyAustralia NSW Pty Ltd,660.0,660.0,0.0,,Coal,Fossil - Black Coal,Fuel
MPP_1,Millmerran Power Plant,Millmerran Power Plant,QLD1,QLD1,Millmerran Power Partners,Millmerran Power Partners,426.0,426.0,0.0,,Coal,Fossil - Black Coal,Fuel
MPP_2,Millmerran Power Plant,Millmerran Power Plant,QLD1,QLD1,Millmerran Power Partners,Millmerran Power Partners,426.0,426.0,0.0,,Coal,Fossil - Black Coal,Fuel
MRTLSWF1,Mortlake South Wind Farm,Mortlake South Wind Farm,VIC1,VIC1,Mortlake South Wind Farm Pty Ltd,Mortlake South Wind Farm Pty Ltd,157.5,4.5,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
MSTUART1,Mt Stuart,Mt Stuart,QLD1,QLD1,Origin Energy Mt Stuart,Origin Energy Mt Stuart,146.0,146.0,0.0,,OCGT,Fossil - Diesel,Fuel
MSTUART2,Mt Stuart,Mt Stuart,QLD1,QLD1,Origin Energy Mt Stuart,Origin Energy Mt Stuart,146.0,146.0,0.0,,OCGT,Fossil - Diesel,Fuel
MSTUART3,Mt Stuart,Mt Stuart,QLD1,QLD1,Origin Energy Mt Stuart,Origin Energy Mt Stuart,131.5,131.5,0.0,,OCGT,Fossil - Diesel,Fuel
MTGELWF1,Mt Gellibrand Wind Farm,Mt Gellibrand Wind Farm,VIC1,VIC1,ACCIONA Energy,ACCIONA Energy,138.6,3.15,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
MTMILLAR,Mt Millar Wind Farm,Mt Millar Wind Farm,SA1,SA1,MT MILLAR WIND FARM PTY LTD,MT MILLAR WIND FARM PTY LTD,72.28,2.07,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
MURRAY,Murray 1,Murray 1,VIC1,VIC1,Snowy Hydro Ltd,Snowy Hydro Ltd,1550.0,95.0,0.0,,Water,Hydro - Water,"Capacity(MW), Fuel"
MUSSELR1,Musselroe Wind Farm,Musselroe Wind Farm,TAS1,TAS1,Musselroe Wind Farm Pty Ltd,Musselroe Wind Farm Pty Ltd,168.0,3.0,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
MUWAWF1,Murra Warra Wind Farm - stage 1,Murra Warra Wind Farm - stage 1,VIC1,VIC1,Murra Warra Project Co Pty Ltd,Murra Warra Project Co Pty Ltd,225.7,3.7,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
MUWAWF2,Murra Warra Wind Farm - stage 2,Murra Warra Wind Farm - stage 2,VIC1,VIC1,Murra Warra II Project Co Pty Ltd as Trustee for the Murra Warra II Project Trust,Murra Warra II Project Co Pty Ltd as Trustee for the Murra Warra II Project Trust,209.0,5.5,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
MWPS1PV1,Morgan To Whyalla Pipeline No 1 PS And Water Filtration Plant,Morgan To Whyalla Pipeline No 1 PS And Water Filtration Plant,SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,5.5,2.75,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
MWPS2PV1,Morgan To Whyalla Pipeline No 2 PS,Morgan To Whyalla Pipeline No 2 PS,SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,5.5,2.75,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
MWPS3PV1,Morgan To Whyalla Pipeline No 3 PS,Morgan To Whyalla Pipeline No 3 PS,SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,7.5,2.5,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
MWPS4PV1,Morgan To Whyalla Pipeline No 4 PS,Morgan To Whyalla Pipeline No 4 PS,SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,5.5,2.75,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
NASF1,Narromine Solar Farm,Narromine Solar Farm,NSW1,NSW1,Dubbo Solar Hub Pty Ltd,Dubbo Solar Hub Pty Ltd,9.2,2.3,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
NBHWF1,Hallett 4 North Brown Hill,Hallett 4 North Brown Hill,SA1,SA1,Brown Hill North Pty Ltd,Brown Hill North Pty Ltd,132.3,2.1,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
NEVERSF1,Nevertire Solar Farm,Nevertire Solar Farm,NSW1,NSW1,Nevertire Solar Pty Ltd as Trustee for the Nevertire Solar Trust,Nevertire Solar Pty Ltd as Trustee for the Nevertire Solar Trust,104.64,2.18,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
NEWENSF1,New England Solar Farm,New England Solar Farm,NSW1,NSW1,ACEN AUSTRALIA,ACEN AUSTRALIA,200.0,200.0,0.0,,Solar,Solar - Solar,Fuel
NEWENSF2,New England Solar Farm,New England Solar Farm,NSW1,NSW1,ACEN AUSTRALIA,ACEN AUSTRALIA,200.0,200.0,0.0,,Solar,Solar - Solar,Fuel
NPS,Newport,Newport,VIC1,VIC1,EnergyAustralia Ecogen Pty Ltd,EnergyAustralia Ecogen Pty Ltd,500.0,500.0,0.0,,Gas other,Fossil - Natural Gas Pipeline,Fuel
NUMURSF1,Numurkah Solar Farm,Numurkah Solar Farm,VIC1,VIC1,Numurkah Solar Farm Pty Ltd,Numurkah Solar Farm Pty Ltd,101.08,1.81,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
NYNGAN1,Nyngan Solar Plant,Nyngan Solar Plant,NSW1,NSW1,PARF Company 6 Pty Limited,PARF Company 6 Pty Limited,102.03,1.33,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
OAKEY1,Oakey Power Station,Oakey Power Station,QLD1,QLD1,Oakey Power Holdings Pty Ltd,Oakey Power Holdings Pty Ltd,173.0,173.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
OAKEY1SF,Oakey Solar Farm,Oakey Solar Farm,QLD1,QLD1,Oakey1 Asset Co Pty Ltd,Oakey1 Asset Co Pty Ltd,25.0,25.0,0.0,,Solar,Solar - Solar,Fuel
OAKEY2,Oakey Power Station,Oakey Power Station,QLD1,QLD1,Oakey Power Holdings Pty Ltd,Oakey Power Holdings Pty Ltd,173.0,173.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
OAKEY2SF,Oakey 2 Solar Farm,Oakey 2 Solar Farm,QLD1,QLD1,RE Oakey Pty Ltd,RE Oakey Pty Ltd,55.64,2.14,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
OAKLAND1,Oaklands Hill Wind Farm,Oaklands Hill Wind Farm,VIC1,VIC1,Oaklands Hill Wind farm pty ltd,Oaklands Hill Wind farm pty ltd,67.2,2.1,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
OAKY2,Oaky Creek 2,Oaky Creek 2,QLD1,QLD1,EDL OCI PTY LTD,EDL OCI PTY LTD,15.0,3.0,0.0,,Gas other,Fossil - Waste Coal Mine Gas,"Capacity(MW), Fuel"
OAKYCREK,Oaky Creek,Oaky Creek,QLD1,QLD1,EDL OCI Pty Ltd,EDL OCI Pty Ltd,21.0,3.04,0.0,,Gas other,Fossil - Waste Coal Mine Gas,"Capacity(MW), Fuel"
ORANA,Orana BESS,Orana BESS,NSW1,NSW1,Wellington Battery ProjectCo Pty Ltd,Wellington Battery ProjectCo Pty Ltd,414.85,0.93,1660.0,1660.0,Battery Storage,Other - Other,"Capacity(MW), Fuel"
OSB-AG,Osborne,Osborne,SA1,SA1,Osborne Cogeneration Pty Ltd,Osborne Cogeneration Pty Ltd,118.0,62.0,0.0,,CCGT,Fossil - Natural Gas Pipeline,"Capacity(MW), Fuel"
PALOONA,Paloona,Paloona,TAS1,TAS1,Hydro-Electric Corporation,Hydro-Electric Corporation,28.0,28.0,0.0,,Water,Hydro - Water,Fuel
PAREPS1,Port Augusta Renewable Energy Park - Solar,Port Augusta Renewable Energy Park - Solar,SA1,SA1,PAREP 1 Pty Ltd,PAREP 1 Pty Ltd,79.2,2.75,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
PAREPW1,Port Augusta Renewable Energy Park - Wind,Port Augusta Renewable Energy Park - Wind,SA1,SA1,PAREP 1 Pty Ltd,PAREP 1 Pty Ltd,210.0,4.02,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
PARSF1,Parkes Solar Farm,Parkes Solar Farm,NSW1,NSW1,Parkes Solar Farm Pty Ltd,Parkes Solar Farm Pty Ltd,49.5,2.25,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
PIBESS1,Philip Island BESS,Philip Island BESS,VIC1,VIC1,Mondo Power,Mondo Power,5.0,5.0,10.0,10.0,Battery Storage,Other - Other,Fuel
PINDARI,Pindari,Pindari,NSW1,NSW1,AGL Hydro Partnership,AGL Hydro Partnership,5.77,5.77,0.0,,Water,Hydro - Water,Fuel
POAT110,Poatina,Poatina,TAS1,TAS1,Hydro-Electric Corporation,Hydro-Electric Corporation,100.0,50.0,0.0,,Water,Hydro - Water,"Capacity(MW), Fuel"
POAT220,Poatina,Poatina,TAS1,TAS1,Hydro-Electric Corporation,Hydro-Electric Corporation,200.0,50.0,0.0,,Water,Hydro - Water,"Capacity(MW), Fuel"
POR01,Port Lincoln GT,Port Lincoln GT,SA1,SA1,Synergen Power Pty Ltd,Synergen Power Pty Ltd,50.0,25.0,0.0,,OCGT,Fossil - Diesel,"Capacity(MW), Fuel"
POR03,Port Lincoln GT,Port Lincoln GT,SA1,SA1,Synergen Power Pty Ltd,Synergen Power Pty Ltd,23.5,23.5,0.0,,OCGT,Fossil - Diesel,Fuel
PORTWF,Portland Wind Farm,Portland Wind Farm,VIC1,VIC1,Pacific Hydro Portland Wind Farm Pty Ltd,Pacific Hydro Portland Wind Farm Pty Ltd,151.7,2.05,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
PPCCGT,Pelican Point,Pelican Point,SA1,SA1,Pelican Point Power Limited,Pelican Point Power Limited,529.0,171.0,0.0,,CCGT,Fossil - Natural Gas Pipeline,"Capacity(MW), Fuel"
PTSTAN1,Port Stanvac 1,Port Stanvac 1,SA1,SA1,Snowy Hydro Ltd,Snowy Hydro Ltd,56.52,1.57,0.0,,Other,Fossil - Diesel,"Capacity(MW), Fuel"
QBYNB1,Queanbeyan BESS,Queanbeyan BESS,NSW1,NSW1,Berrybank 2 Asset Pty Ltd as Trustee for Berrybank 2 Asset Trust,Berrybank 2 Asset Pty Ltd as Trustee for Berrybank 2 Asset Trust,10.0,10.0,20.0,20.0,Battery Storage,Other - Other,Fuel
QPBESS,Quorn Park Hybrid,Quorn Park Solar Hybrid,NSW1,NSW1,Quorn Park Solar Farm Pty Ltd as the trustee for Quorn Park Solar Farm Trust,Quorn Park Solar Farm Pty Ltd as the trustee for Quorn Park Solar Farm Trust,25.520000000000003,3.45,40.0,40.0,Battery Storage,Other - Other,"Site Name, Capacity(MW), Fuel"
QPS1,Quarantine,Quarantine,SA1,SA1,Origin Energy Power Limited,Origin Energy Power Limited,29.0,29.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
QPS2,Quarantine,Quarantine,SA1,SA1,Origin Energy Power Limited,Origin Energy Power Limited,24.0,24.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
QPS3,Quarantine,Quarantine,SA1,SA1,Origin Energy Power Limited,Origin Energy Power Limited,29.0,29.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
QPS4,Quarantine,Quarantine,SA1,SA1,Origin Energy Power Limited,Origin Energy Power Limited,24.0,24.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
QPS5,Quarantine,Quarantine,SA1,SA1,Origin Energy Power Limited,Origin Energy Power Limited,128.0,128.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
QPSF,Quorn Park Hybrid,Quorn Park Solar Hybrid,NSW1,NSW1,Quorn Park Solar Farm Pty Ltd as the trustee for Quorn Park Solar Farm Trust,Quorn Park Solar Farm Pty Ltd as the trustee for Quorn Park Solar Farm Trust,91.96000000000001,4.4,0.0,,Solar,Solar - Solar,"Site Name, Capacity(MW), Fuel"
RANGEB1,Rangebank BESS,Rangebank BESS,VIC1,VIC1,Cranbourne BESS Project Co Pty Ltd,Cranbourne BESS Project Co Pty Ltd,200.0,200.0,400.0,400.0,Battery Storage,Other - Other,Fuel
REDBANK1,Redbank,Redbank,NSW1,NSW1,Verdant Earth Technologies Limited,Verdant Earth Technologies Limited,139.5,151.0,0.0,,Biomass,Renewable Biomass or Waste - Wood Waste,"Capacity(MW), Fuel"
REECE1,Reece,Reece,TAS1,TAS1,Hydro-Electric Corporation,Hydro-Electric Corporation,115.6,115.6,0.0,,Water,Hydro - Water,Fuel
